Pres Vapor Caldeira;Tx Compressao Matriz;Afastamento Rolos;Amperagem Condicionador;Velocidade Alimentador;Porc Temp Condicionador;Pressao Vapor;Amperagem Peletizadora;Porc Finos Tyl6;Porc Pdi Tyl6
8,8;18,94;0;40;43;68;1,6;669;12,69565217391304347826086956521739130435;82
9;15;0;39;44;68;1,6;636;15,08333333333333333333333333333333333333;79,6
9,4;18,75;0;45;76;78;1,7;546;15,98062953995157384987893462469733656174;84,2
8,8;18,94;0;39;44;70;1,5;651;19,27133269415148609779482262703739213806;73,6
7,8;15;0;38;40;75;1,4;666;8,07136788445199660152931180968564146134;85,6
9,1;18,75;0;39;42;74;1,5;630;14,95652173913043478260869565217391304348;79,2
8,8;18;1;38;80;79;1,6;616;22,39685658153241650294695481335952848723;79,6
9,4;18,75;0;37;76;79;1,7;615;17,28288907996560619088564058469475494411;80,6
9,2;18,94;0;38;44;74;1,5;623;15,84415584415584415584415584415584415584;83
8,1;18;0;39;77;79;1,7;615;16,00378787878787878787878787878787878788;79,6
9,4;18;0;41;85;79;1,7;572;25,97526165556612749762131303520456707897;75
9,1;18;1,5;37;71;78;1,7;613;11,17533718689788053949903660886319845857;87,4
9;15;1;40;45;72;1,5;626;9,89795918367346938775510204081632653061;88
8,8;18;1,5;37;72;76;1,7;619;14,21755725190839694656488549618320610687;84,6
9,4;18,75;0;38;69;74;1,7;619;16,47058823529411764705882352941176470588;85
9,4;18,94;0;38;43;72;1,5;625;9,03908794788273615635179153094462540717;88,2
9;18;0;38;70;70;1,8;612;11,42857142857142857142857142857142857143;85,2
9;18;0;38;46;69;1,6;632;13,67265469061876247504990019960079840319;81,2
9,3;15;0;41;47;70;1,6;606;18,75607385811467444120505344995140913508;77
9,2;18;0;37;53;75;1,4;627;7,35785953177257525083612040133779264214;88,6
9,2;18;0;38;60;73;1,7;622;12,35657546337157987643424536628420123566;85,6
9;15;0;36;37;72;1,6;658;11,96213425129087779690189328743545611015;86,4
9,3;18;0;50;77;78;1,7;615;14,04958677685950413223140495867768595041;85,6
8,2;18;0;41;66;79;1,6;652;9,59641255605381165919282511210762331839;85,4
9,2;15;1;41;46;74;1,5;644;20,27559055118110236220472440944881889764;78,2
9,2;18,75;0;632;50;42;1,5;654;15,47169811320754716981132075471698113208;80,6
9,2;18,75;0;39;76;79;1,7;632;13,58490566037735849056603773584905660377;79,2
9;18,94;0;38;40;70;1,5;641;9,39881456392887383573243014394580863675;86,6
9,4;18;0;39;70;75;1,8;628;9,80582524271844660194174757281553398058;83,2
9,5;18;0;37;62;75;1,8;632;6,25;85,6
9,5;15;0;39;38;72;1,6;654;10,18518518518518518518518518518518518519;86
9,3;18;0;39;63;70;1,8;635;11,13155473781048758049678012879484820607;88,8
9;15;0;38;39;71;1,6;621;11,22544434050514499532273152478952291862;86,6
9,1;18;0;39;62;70;1,7;630;12,71626297577854671280276816608996539792;83,2
9,1;15;0;37;42;69;1,6;643;12,4415341440598690364826941066417212348;80
9;15;0;41;43;69;1,6;643;7,59849906191369606003752345215759849906;87,8
9,1;15;0;38;36;70;1,6;657;9,56439393939393939393939393939393939394;89,6
8,8;18;0;42;62;76;1,7;634;4,18803418803418803418803418803418803419;90,4
9;18,94;0;38;38;68;1,6;664;13,31360946745562130177514792899408284024;75,4
9;18;0;49;73;75;1,7;627;13,83177570093457943925233644859813084112;90,6
